time,proc1,proc2,proc3
1447610915.899088,-1.0,-2.5,-2.0647523116001567
1447610930.560149,-1.0,-2.5,-0.0625
1447610930.580484,-1.0,-2.5,-0.1234375
1447610930.600587,-1.0,-2.5,-0.1828515625
1447610930.621639,-1.0,-2.5,-0.24078027343750003
1447610930.642233,-1.0,-2.5,-0.29726076660156253
1447610930.6631,-1.0,-2.5,-0.3523292474365235
1447610930.684093,-1.0,-2.5,-0.40602101625061043
1447610930.704228,-1.0,-2.5,-0.4583704908443451
1447610930.724695,-1.0,-2.5,-0.5094112285732365
1447610930.745033,-1.0,-2.5,-0.5591759478589056
1447610930.766111,-1.0,-2.5,-0.6076965491624329
1447610930.787062,-1.0,-2.5,-0.6550041354333721
1447610930.807963,-1.0,-2.5,-0.7011290320475377
1447610930.828951,-1.0,-2.5,-0.7461008062463492
1447610930.85,-1.0,-2.5,-0.7899482860901905
1447610930.870948,-1.0,-2.5,-0.8326995789379357
1447610930.891914,-1.0,-2.5,-0.8743820894644874
1447610930.912258,-1.0,-2.5,-0.9150225372278753
1447610930.933217,-1.0,-2.5,-0.9546469737971783
1447610930.954283,-1.0,-2.5,-0.9932807994522488
1447610930.975208,-1.0,-2.5,-1.0309487794659424
1447610930.996155,-1.0,-2.5,-1.067675059979294
1447610931.017098,-1.0,-2.5,-1.1034831834798116
1447610931.037707,-1.0,-2.5,-1.1383961038928163
1447610931.058756,-1.0,-2.5,-1.1724362012954959
1447610931.079125,-1.0,-2.5,-1.2056252962631084
1447610931.099777,-1.0,-2.5,-1.2379846638565308
1447610931.120846,-1.0,-2.5,-1.2695350472601175
1447610931.142287,-1.0,-2.5,-1.3002966710786146
1447610931.162794,-1.0,-2.5,-1.3302892543016491
1447610931.183778,-1.0,-2.5,-1.359532022944108
1447610931.204338,-1.0,-2.5,-1.388043722370505
1447610931.224951,-1.0,-2.5,-1.4158426293112425
1447610931.245872,-1.0,-2.5,-1.4429465635784615
1447610931.266751,-1.0,-2.5,-1.469372899489
1447610931.28721,-1.0,-2.5,-1.495138577001775
1447610931.308363,-1.0,-2.5,-1.5202601125767308
1447610931.329208,-1.0,-2.5,-1.5447536097623125
1447610931.349974,-1.0,-2.5,-1.5686347695182545
1447610931.370896,-1.0,-2.5,-1.5919189002802983
1447610931.391961,-1.0,-2.5,-1.6146209277732908
1447610931.412248,-1.0,-2.5,-1.6367554045789585
1447610931.433084,-1.0,-2.5,-1.6583365194644846
1447610931.453997,-1.0,-2.5,-1.6793781064778723
1447610931.474949,-1.0,-2.5,-1.6998936538159257
1447610931.496067,-1.0,-2.5,-1.7198963124705275
1447610931.517118,-1.0,-2.5,-1.7393989046587646
1447610931.538185,-1.0,-2.5,-1.7584139320422956
1447610931.559118,-1.0,-2.5,-1.776953583741238
1447610931.580144,1.0,2.5,-1.670029744147707
1447610931.600305,1.0,2.5,-1.5657790005440144
1447610931.621312,1.0,2.5,-1.464134525530414
1447610931.642201,1.0,2.5,-1.3650311623921536
1447610931.662686,1.0,2.5,-1.2684053833323499
1447610931.683778,1.0,2.5,-1.1741952487490412
1447610931.704921,1.0,2.5,-1.0823403675303154
1447610931.725802,1.0,2.5,-0.9927818583420575
1447610931.746692,1.0,2.5,-0.905462311883506
1447610931.766958,1.0,2.5,-0.8203257540864184
1447610931.788006,1.0,2.5,-0.737317610234258
1447610931.808861,1.0,2.5,-0.6563846699784015
1447610931.829944,1.0,2.5,-0.5774750532289414
1447610931.850704,1.0,2.5,-0.5005381768982179
1447610931.871604,1.0,2.5,-0.42552472247576245
1447610931.892068,1.0,2.5,-0.3523866044138684
