time,proc1,proc2,proc3
1447610866.884018,1.0,2.5,0.125
1447610866.904751,-1.0,-2.5,-0.00625
1447610866.925787,-1.0,-2.5,-0.13093749999999998
1447610866.946914,-1.0,-2.5,-0.24939062499999998
1447610866.967139,-1.0,-2.5,-0.36192109375
1447610866.988275,-1.0,-2.5,-0.4688250390625
1447610867.00924,-1.0,-2.5,-0.570383787109375
1447610867.029595,-1.0,-2.5,-0.6668645977539063
1447610867.049827,-1.0,-2.5,-0.7585213678662109
1447610867.07074,-1.0,-2.5,-0.8455952994729004
1447610867.091761,-1.0,-2.5,-0.9283155344992553
1447610867.111984,-1.0,-2.5,-1.0068997577742924
1447610867.132824,-1.0,-2.5,-1.0815547698855776
1447610867.1538,-1.0,-2.5,-1.1524770313912989
1447610867.174788,-1.0,-2.5,-1.2198531798217338
1447610867.195741,-1.0,-2.5,-1.2838605208306473
1447610867.215934,-1.0,-2.5,-1.3446674947891148
1447610867.236714,-1.0,-2.5,-1.402434120049659
1447610867.25766,-1.0,-2.5,-1.457312414047176
1447610867.277935,-1.0,-2.5,-1.5094467933448172
1447610867.298915,-1.0,-2.5,-1.5589744536775763
1447610867.319907,-1.0,-2.5,-1.6060257309936972
1447610867.340768,-1.0,-2.5,-1.6507244444440126
1447610867.36166,-1.0,-2.5,-1.6931882222218122
1447610867.382651,-1.0,-2.5,-1.7335288111107214
1447610867.403815,-1.0,-2.5,-1.7718523705551852
1447610867.423973,-1.0,-2.5,-1.808259752027426
1447610867.444942,-1.0,-2.5,-1.8428467644260547
1447610867.46597,-1.0,-2.5,-1.8757044262047518
1447610867.486986,-1.0,-2.5,-1.906919204894514
1447610867.50788,-1.0,-2.5,-1.9365732446497883
1447610867.528856,-1.0,-2.5,-1.964744582417299
1447610867.549843,-1.0,-2.5,-1.9915073532964342
1447610867.570811,-1.0,-2.5,-2.0169319856316124
1447610867.591934,-1.0,-2.5,-2.041085386350032
1447610867.613033,-1.0,-2.5,-2.0640311170325303
1447610867.633914,-1.0,-2.5,-2.085829561180904
1447610867.65432,-1.0,-2.5,-2.1065380831218588
1447610867.675177,-1.0,-2.5,-2.126211178965766
1447610867.696143,-1.0,-2.5,-2.1449006200174776
1447610867.716339,-1.0,-2.5,-2.162655589016604
1447610867.736586,-1.0,-2.5,-2.179522809565774
1447610867.757126,-1.0,-2.5,-2.195546669087485
1447610867.778174,-1.0,-2.5,-2.2107693356331106
1447610867.799191,-1.0,-2.5,-2.225230868851455
1447610867.82016,-1.0,-2.5,-2.238969325408882
1447610867.841208,-1.0,-2.5,-2.2520208591384376
1447610867.861613,-1.0,-2.5,-2.264419816181516
1447610867.882671,-1.0,-2.5,-2.27619882537244
1447610867.903657,1.0,2.5,-2.037388884103818
1447610867.92429,1.0,2.5,-1.810519439898627
1447610867.944688,1.0,2.5,-1.5949934679036957
1447610867.964999,1.0,2.5,-1.3902437945085109
1447610867.985485,1.0,2.5,-1.1957316047830853
1447610868.006633,1.0,2.5,-1.010945024543931
1447610868.027565,1.0,2.5,-0.8353977733167346
1447610868.048579,1.0,2.5,-0.6686278846508978
1447610868.069863,1.0,2.5,-0.5101964904183529
1447610868.090651,1.0,2.5,-0.35968666589743525
1447610868.111655,1.0,2.5,-0.2167023326025635
1447610868.132735,1.0,2.5,-0.08086721597243533
1447610868.153432,1.0,2.5,0.04817614482618643
1447610868.173733,1.0,2.5,0.1707673375848771
1447610868.194752,1.0,2.5,0.28722897070563325
