time,proc1,proc2,proc3
1447610197.989867,-1.0,-2.5,4.0
1447610198.010778,-1.0,-2.5,-8.0
1447610198.0309,-1.0,-2.5,16.0
1447610198.051299,-1.0,-2.5,-32.0
1447610198.0718,-1.0,-2.5,64.0
1447610198.092915,-1.0,-2.5,-128.0
1447610198.114019,-1.0,-2.5,256.0
1447610198.135028,-1.0,-2.5,-512.0
1447610198.15514,-1.0,-2.5,1024.0
1447610198.175959,-1.0,-2.5,-2048.0
1447610198.196801,-1.0,-2.5,4096.0
1447610198.21787,-1.0,-2.5,-8192.0
1447610198.238827,-1.0,-2.5,16384.0
1447610198.259951,-1.0,-2.5,-32768.0
1447610198.280818,-1.0,-2.5,65536.0
1447610198.301375,-1.0,-2.5,-131072.0
1447610198.322304,-1.0,-2.5,262144.0
1447610198.343116,-1.0,-2.5,-524288.0
1447610198.363355,-1.0,-2.5,1048576.0
1447610198.384399,-1.0,-2.5,-2097152.0
1447610198.405349,-1.0,-2.5,4194304.0
1447610198.426347,-1.0,-2.5,-8388608.0
1447610198.44708,-1.0,-2.5,16777216.0
1447610198.467735,-1.0,-2.5,-33554432.0
1447610198.487913,-1.0,-2.5,67108864.0
1447610198.509027,-1.0,-2.5,-134217728.0
1447610198.530049,-1.0,-2.5,268435456.0
1447610198.551006,-1.0,-2.5,-536870912.0
1447610198.571166,-1.0,-2.5,1073741824.0
1447610198.59144,-1.0,-2.5,-2147483648.0
1447610198.612323,-1.0,-2.5,4294967296.0
1447610198.633057,-1.0,-2.5,-8589934592.0
1447610198.653996,-1.0,-2.5,17179869184.0
1447610198.674167,-1.0,-2.5,-34359738368.0
1447610198.694443,-1.0,-2.5,68719476736.0
1447610198.715066,-1.0,-2.5,-137438953472.0
1447610198.735752,-1.0,-2.5,274877906944.0
1447610198.756694,-1.0,-2.5,-549755813888.0
1447610198.777032,-1.0,-2.5,1099511627776.0
1447610198.79734,-1.0,-2.5,-2199023255552.0
1447610198.81828,-1.0,-2.5,4398046511104.0
1447610198.839265,-1.0,-2.5,-8796093022208.0
1447610198.859915,-1.0,-2.5,17592186044416.0
1447610198.88042,-1.0,-2.5,-35184372088832.0
1447610198.90086,-1.0,-2.5,70368744177664.0
1447610198.921769,-1.0,-2.5,-140737488355328.0
1447610198.942719,-1.0,-2.5,281474976710656.0
1447610198.963755,-1.0,-2.5,-562949953421312.0
1447610198.984863,1.0,2.5,-1125899906842624.0
1447610199.005833,1.0,2.5,-2251799813685248.0
1447610199.026857,1.0,2.5,-4503599627370496.0
1447610199.047063,1.0,2.5,-9007199254740992.0
1447610199.067945,1.0,2.5,-1.8014398509481984e+16
1447610199.089029,1.0,2.5,-3.602879701896397e+16
1447610199.110184,1.0,2.5,-7.205759403792794e+16
1447610199.131204,1.0,2.5,-1.4411518807585587e+17
1447610199.152184,1.0,2.5,-2.8823037615171174e+17
1447610199.17296,1.0,2.5,-5.764607523034235e+17
1447610199.193224,1.0,2.5,-1.152921504606847e+18
1447610199.214208,1.0,2.5,-2.305843009213694e+18
1447610199.234411,1.0,2.5,-4.611686018427388e+18
1447610199.255314,1.0,2.5,-9.223372036854776e+18
1447610199.275573,1.0,2.5,-1.8446744073709552e+19
1447610199.296152,1.0,2.5,-3.6893488147419103e+19
1447610199.316337,1.0,2.5,-7.378697629483821e+19
1447610199.337352,1.0,2.5,-1.4757395258967641e+20
1447610199.358325,1.0,2.5,-2.9514790517935283e+20
1447610199.379314,1.0,2.5,-5.902958103587057e+20
1447610199.400288,1.0,2.5,-1.1805916207174113e+21
1447610199.42132,1.0,2.5,-2.3611832414348226e+21
1447610199.442355,1.0,2.5,-4.722366482869645e+21
1447610199.46344,1.0,2.5,-9.44473296573929e+21
1447610199.483706,1.0,2.5,-1.888946593147858e+22
1447610199.504626,1.0,2.5,-3.777893186295716e+22
1447610199.52558,1.0,2.5,-7.555786372591432e+22
1447610199.546625,1.0,2.5,-1.5111572745182865e+23
1447610199.566926,1.0,2.5,-3.022314549036573e+23
1447610199.587667,1.0,2.5,-6.044629098073146e+23
1447610199.60837,1.0,2.5,-1.2089258196146292e+24
1447610199.629414,1.0,2.5,-2.4178516392292583e+24
1447610199.650368,1.0,2.5,-4.835703278458517e+24
1447610199.671409,1.0,2.5,-9.671406556917033e+24
1447610199.691654,1.0,2.5,-1.9342813113834067e+25
1447610199.71274,1.0,2.5,-3.8685626227668134e+25
1447610199.733714,1.0,2.5,-7.737125245533627e+25
1447610199.754738,1.0,2.5,-1.5474250491067253e+26
1447610199.774951,1.0,2.5,-3.094850098213451e+26
1447610199.79607,1.0,2.5,-6.189700196426902e+26
1447610199.817022,1.0,2.5,-1.2379400392853803e+27
1447610199.838012,1.0,2.5,-2.4758800785707605e+27
1447610199.858863,1.0,2.5,-4.951760157141521e+27
1447610199.879568,1.0,2.5,-9.903520314283042e+27
1447610199.900103,1.0,2.5,-1.9807040628566084e+28
1447610199.921045,1.0,2.5,-3.961408125713217e+28
1447610199.942086,1.0,2.5,-7.922816251426434e+28
1447610199.962576,1.0,2.5,-1.5845632502852868e+29
1447610199.983483,-1.0,-2.5,3.1691265005705735e+29
1447610200.004145,-1.0,-2.5,-6.338253001141147e+29
1447610200.025071,-1.0,-2.5,1.2676506002282294e+30
1447610200.04605,-1.0,-2.5,-2.535301200456459e+30
1447610200.066305,-1.0,-2.5,5.070602400912918e+30
1447610200.087358,-1.0,-2.5,-1.0141204801825835e+31
1447610200.108095,-1.0,-2.5,2.028240960365167e+31
1447610200.129136,-1.0,-2.5,-4.056481920730334e+31
1447610200.15021,-1.0,-2.5,8.112963841460668e+31
1447610200.170354,-1.0,-2.5,-1.6225927682921336e+32
1447610200.190989,-1.0,-2.5,3.2451855365842673e+32
1447610200.211661,-1.0,-2.5,-6.490371073168535e+32
1447610200.232694,-1.0,-2.5,1.298074214633707e+33
1447610200.252849,-1.0,-2.5,-2.596148429267414e+33
1447610200.273952,-1.0,-2.5,5.192296858534828e+33
1447610200.294193,-1.0,-2.5,-1.0384593717069655e+34
1447610200.314513,-1.0,-2.5,2.076918743413931e+34
1447610200.335397,-1.0,-2.5,-4.153837486827862e+34
1447610200.35597,-1.0,-2.5,8.307674973655724e+34
1447610200.376888,-1.0,-2.5,-1.661534994731145e+35
1447610200.397802,-1.0,-2.5,3.32306998946229e+35
1447610200.418123,-1.0,-2.5,-6.64613997892458e+35
1447610200.439044,-1.0,-2.5,1.329227995784916e+36
1447610200.460018,-1.0,-2.5,-2.658455991569832e+36
1447610200.480687,-1.0,-2.5,5.316911983139664e+36
1447610200.501356,-1.0,-2.5,-1.0633823966279327e+37
1447610200.521591,-1.0,-2.5,2.1267647932558654e+37
1447610200.542105,-1.0,-2.5,-4.253529586511731e+37
1447610200.563029,-1.0,-2.5,8.507059173023462e+37
1447610200.583287,-1.0,-2.5,-1.7014118346046923e+38
1447610200.60409,-1.0,-2.5,3.402823669209385e+38
1447610200.624907,-1.0,-2.5,-6.80564733841877e+38
1447610200.645164,-1.0,-2.5,1.361129467683754e+39
1447610200.666003,-1.0,-2.5,-2.722258935367508e+39
1447610200.686958,-1.0,-2.5,5.444517870735016e+39
1447610200.707285,-1.0,-2.5,-1.0889035741470031e+40
1447610200.727478,-1.0,-2.5,2.1778071482940062e+40
1447610200.748182,-1.0,-2.5,-4.3556142965880123e+40
1447610200.768404,-1.0,-2.5,8.711228593176025e+40
1447610200.789484,-1.0,-2.5,-1.742245718635205e+41
1447610200.810453,-1.0,-2.5,3.48449143727041e+41
1447610200.830633,-1.0,-2.5,-6.96898287454082e+41
1447610200.85171,-1.0,-2.5,1.393796574908164e+42
1447610200.872458,-1.0,-2.5,-2.787593149816328e+42
1447610200.892962,-1.0,-2.5,5.575186299632656e+42
1447610200.91386,-1.0,-2.5,-1.1150372599265312e+43
1447610200.934958,-1.0,-2.5,2.2300745198530623e+43
1447610200.955083,-1.0,-2.5,-4.460149039706125e+43
1447610200.976038,1.0,2.5,-8.92029807941225e+43
1447610200.996509,1.0,2.5,-1.78405961588245e+44
1447610201.017025,1.0,2.5,-3.5681192317649e+44
1447610201.037633,1.0,2.5,-7.1362384635298e+44
1447610201.058122,1.0,2.5,-1.42724769270596e+45
1447610201.078405,1.0,2.5,-2.85449538541192e+45
1447610201.099066,1.0,2.5,-5.70899077082384e+45
1447610201.119472,1.0,2.5,-1.141798154164768e+46
1447610201.140364,1.0,2.5,-2.283596308329536e+46
1447610201.161468,1.0,2.5,-4.567192616659072e+46
1447610201.182467,1.0,2.5,-9.134385233318143e+46
1447610201.202585,1.0,2.5,-1.8268770466636286e+47
1447610201.223719,1.0,2.5,-3.6537540933272573e+47
1447610201.244777,1.0,2.5,-7.307508186654515e+47
1447610201.265844,1.0,2.5,-1.461501637330903e+48
1447610201.286871,1.0,2.5,-2.923003274661806e+48
1447610201.3079,1.0,2.5,-5.846006549323612e+48
1447610201.328783,1.0,2.5,-1.1692013098647223e+49
1447610201.349663,1.0,2.5,-2.3384026197294447e+49
1447610201.370602,1.0,2.5,-4.6768052394588893e+49
1447610201.391545,1.0,2.5,-9.353610478917779e+49
1447610201.411692,1.0,2.5,-1.8707220957835557e+50
1447610201.432709,1.0,2.5,-3.7414441915671115e+50
1447610201.45375,1.0,2.5,-7.482888383134223e+50
1447610201.474683,1.0,2.5,-1.4965776766268446e+51
1447610201.495478,1.0,2.5,-2.9931553532536892e+51
1447610201.515807,1.0,2.5,-5.986310706507379e+51
1447610201.536371,1.0,2.5,-1.1972621413014757e+52
1447610201.55683,1.0,2.5,-2.3945242826029513e+52
1447610201.577749,1.0,2.5,-4.789048565205903e+52
1447610201.59867,1.0,2.5,-9.578097130411805e+52
1447610201.619323,1.0,2.5,-1.915619426082361e+53
1447610201.639848,1.0,2.5,-3.831238852164722e+53
1447610201.660822,1.0,2.5,-7.662477704329444e+53
1447610201.68167,1.0,2.5,-1.532495540865889e+54
1447610201.70284,1.0,2.5,-3.064991081731778e+54
1447610201.723835,1.0,2.5,-6.129982163463556e+54
1447610201.74497,1.0,2.5,-1.2259964326927111e+55
1447610201.766108,1.0,2.5,-2.4519928653854222e+55
1447610201.787064,1.0,2.5,-4.9039857307708443e+55
1447610201.807802,1.0,2.5,-9.807971461541689e+55
1447610201.82795,1.0,2.5,-1.9615942923083377e+56
1447610201.849052,1.0,2.5,-3.9231885846166755e+56
1447610201.870153,1.0,2.5,-7.846377169233351e+56
1447610201.891077,1.0,2.5,-1.5692754338466702e+57
1447610201.912176,1.0,2.5,-3.1385508676933404e+57
1447610201.932676,1.0,2.5,-6.277101735386681e+57
1447610201.953805,1.0,2.5,-1.2554203470773362e+58
1447610201.97409,-1.0,-2.5,2.5108406941546723e+58
1447610201.994931,-1.0,-2.5,-5.021681388309345e+58
1447610202.015963,-1.0,-2.5,1.004336277661869e+59
1447610202.036137,-1.0,-2.5,-2.008672555323738e+59
1447610202.056819,-1.0,-2.5,4.017345110647476e+59
1447610202.077423,-1.0,-2.5,-8.034690221294951e+59
1447610202.097969,-1.0,-2.5,1.6069380442589903e+60
1447610202.118211,-1.0,-2.5,-3.2138760885179806e+60
1447610202.139352,-1.0,-2.5,6.427752177035961e+60
1447610202.160339,-1.0,-2.5,-1.2855504354071922e+61
1447610202.181354,-1.0,-2.5,2.5711008708143844e+61
1447610202.20225,-1.0,-2.5,-5.142201741628769e+61
1447610202.222405,-1.0,-2.5,1.0284403483257538e+62
1447610202.242665,-1.0,-2.5,-2.0568806966515076e+62
1447610202.263429,-1.0,-2.5,4.113761393303015e+62
1447610202.283672,-1.0,-2.5,-8.22752278660603e+62
1447610202.303792,-1.0,-2.5,1.645504557321206e+63
1447610202.324846,-1.0,-2.5,-3.291009114642412e+63
1447610202.345929,-1.0,-2.5,6.582018229284824e+63
1447610202.366723,-1.0,-2.5,-1.3164036458569648e+64
1447610202.387506,-1.0,-2.5,2.6328072917139297e+64
1447610202.407695,-1.0,-2.5,-5.2656145834278593e+64
1447610202.428037,-1.0,-2.5,1.0531229166855719e+65
1447610202.4488,-1.0,-2.5,-2.1062458333711437e+65
1447610202.469286,-1.0,-2.5,4.2124916667422875e+65
1447610202.489633,-1.0,-2.5,-8.424983333484575e+65
1447610202.510365,-1.0,-2.5,1.684996666696915e+66
1447610202.530539,-1.0,-2.5,-3.36999333339383e+66
1447610202.551315,-1.0,-2.5,6.73998666678766e+66
1447610202.571818,-1.0,-2.5,-1.347997333357532e+67
1447610202.592908,-1.0,-2.5,2.695994666715064e+67
1447610202.614246,-1.0,-2.5,-5.391989333430128e+67
1447610202.635064,-1.0,-2.5,1.0783978666860256e+68
1447610202.655528,-1.0,-2.5,-2.1567957333720512e+68
1447610202.676498,-1.0,-2.5,4.3135914667441024e+68
1447610202.696917,-1.0,-2.5,-8.627182933488205e+68
1447610202.717811,-1.0,-2.5,1.725436586697641e+69
1447610202.738754,-1.0,-2.5,-3.450873173395282e+69
1447610202.758979,-1.0,-2.5,6.901746346790564e+69
1447610202.780042,-1.0,-2.5,-1.3803492693581128e+70
1447610202.800911,-1.0,-2.5,2.7606985387162255e+70
1447610202.821994,-1.0,-2.5,-5.521397077432451e+70
1447610202.842185,-1.0,-2.5,1.1042794154864902e+71
1447610202.862987,-1.0,-2.5,-2.2085588309729804e+71
1447610202.883247,-1.0,-2.5,4.417117661945961e+71
1447610202.904169,-1.0,-2.5,-8.834235323891922e+71
1447610202.925121,-1.0,-2.5,1.7668470647783843e+72
1447610202.946166,-1.0,-2.5,-3.533694129556769e+72
1447610202.967143,-1.0,-2.5,7.067388259113537e+72
1447610202.988171,1.0,2.5,1.4134776518227075e+73
1447610203.00911,1.0,2.5,2.826955303645415e+73
1447610203.029381,1.0,2.5,5.65391060729083e+73
1447610203.050402,1.0,2.5,1.130782121458166e+74
1447610203.071383,1.0,2.5,2.261564242916332e+74
1447610203.092142,1.0,2.5,4.523128485832664e+74
